qc_id,gid,acueducto,serial,marcamedid,clasemedid,tipomedido,diametro_p,fecha_ins,usuario,cod_predio,cota,observacio,icon_url
"308","259",San Antonio,"265360",Otro,Micromedidor,Volumétrico,0.5,,"10001370",,1041,,./0.png
"309","260",San Antonio,"40397",Otro,Micromedidor,Volumétrico,0.5,,"10001380",,1042,,./0.png
"310","261",San Antonio,"65013",Otro,Micromedidor,Volumétrico,0.5,,"10001400",,1037,,./0.png
"311","262",San Antonio,"14062",Otro,Micromedidor,Volumétrico,0.5,,"10001410",,1040,,./0.png
"312","263",San Antonio,"31981",Otro,Micromedidor,Volumétrico,0.5,,"10001420",,1044,,./0.png
"313","264",San Antonio,"16000842",Otro,Micromedidor,Volumétrico,0.5,,"10002425","71717",1041,,./0.png
"314","265",San Antonio,"303",Otro,Micromedidor,Volumétrico,0.5,,"10002429","82637",1042,,./0.png
"315","266",San Antonio,"14094",Otro,Micromedidor,Volumétrico,0.5,,"10002427","726361",1041,,./0.png
"316","267",San Antonio,"40442",Otro,Micromedidor,Volumétrico,0.5,,"10002300","7171",1042,,./0.png
"317","268",San Antonio,"0228467",Otro,Micromedidor,Volumétrico,0.5,,"10002290","8761",1043,,./0.png
"318","270",San Antonio,"0168574",Otro,Micromedidor,Volumétrico,0.5,,"10002039","7161",1042,,./0.png
"319","271",San Antonio,"14072",Otro,Micromedidor,Volumétrico,0.5,,"10002032","8172",1043,,./0.png
"320","272",San Antonio,"40416",Otro,Micromedidor,Volumétrico,0.5,,"10002030","81726",1044,,./0.png
"321","274",San Antonio,"5011",Otro,Micromedidor,Volumétrico,0.5,,"10002036","1872",1042,,./0.png
"322","275",San Antonio,"30511",Otro,Micromedidor,Volumétrico,0.5,,"10002040","716271",1041,,./0.png
"323","276",San Antonio,"14070",Otro,Micromedidor,Volumétrico,0.5,,"10002060","5173",1043,,./0.png
"324","281",San Antonio,"40426",Otro,Micromedidor,Volumétrico,0.5,,"10002330","2974",1042,,./0.png
"325","282",San Antonio,"448",Otro,Micromedidor,Volumétrico,0.5,,"10002210","7178",1047,,./0.png
"326","283",San Antonio,"40427",Otro,Micromedidor,Volumétrico,0.5,,"10002110","8167",1041,,./0.png
"327","273",San Antonio,"101",Otro,Micromedidor,Volumétrico,0.5,,"10002034","816261",1044,Dejó de pagar,./0.png
"328","277",San Antonio,ND013,Otro,Micromedidor,Volumétrico,0.5,,"10002350","6391",1043,,./0.png
"329","278",San Antonio,ND014,Otro,Micromedidor,Volumétrico,0.5,,"10002340","163818",1044,,./0.png
"330","333",San Antonio,"16026217",Otro,Micromedidor,Ultrasónico,0.5,,"10002780",,1036,,./0.png
"331","290",San Antonio,"0266480",Otro,Micromedidor,Volumétrico,0.5,,"10002130",91u1781,1045,,./0.png
"332","321",San Antonio,"438",Otro,Micromedidor,Volumétrico,0.5,,"10001790","9382824",1042,,./0.png
"333","284",San Antonio,"16027644",Otro,Micromedidor,Volumétrico,0.5,,"10002440","816621",1045,,./0.png
"334","291",San Antonio,"276",Otro,Micromedidor,Volumétrico,0.5,,"10002194","9868",1046,,./0.png
"335","292",San Antonio,"98",Otro,Micromedidor,Volumétrico,0.5,,"10002192","92882",1046,"No existe, lo levantaron",./0.png
"336","293",San Antonio,"0184363",Otro,Micromedidor,Volumétrico,0.5,,"10002127","176318",1042,,./0.png
"337","294",San Antonio,"22480",Otro,Micromedidor,Volumétrico,0.5,,"10002120","0871",1041,,./0.png
"338","295",San Antonio,"19016",Otro,Micromedidor,Volumétrico,0.5,,"10002421","5367",1041,,./0.png
"339","322",San Antonio,"40419",Otro,Micromedidor,Volumétrico,0.5,,"10001800","382738",1041,,./0.png
"340","323",San Antonio,"64856",Otro,Micromedidor,Volumétrico,0.5,,"10001830","837282",1043,,./0.png
"341","324",San Antonio,"457",Otro,Micromedidor,Volumétrico,0.5,,"10001840","02882",1042,,./0.png
"342","325",San Antonio,"40419",Otro,Micromedidor,Volumétrico,0.5,,"10001850","72628",1042,,./0.png
"343","326",San Antonio,"40377",Otro,Micromedidor,Volumétrico,0.5,,"10001860","72682",1041,,./0.png
"344","327",San Antonio,"31592",Otro,Micromedidor,Volumétrico,0.5,,"10001000","84728",1044,,./0.png
"345","328",San Antonio,"40380",Otro,Micromedidor,Volumétrico,0.5,,"10002432","827292",1044,,./0.png
"346","329",San Antonio,"58712",Otro,Micromedidor,Volumétrico,0.5,,"10002431","8173",1042,,./0.png
"347","330",San Antonio,"0184371",Otro,Micromedidor,Volumétrico,0.5,,"10002705","987",1033,,./0.png
"348","331",San Antonio,"0184374",Otro,Micromedidor,Volumétrico,0.5,,"10002710","786",1030,,./0.png
"349","332",San Antonio,"106",Otro,Micromedidor,Volumétrico,0.5,,"10002707","871",1014,,./0.png
"350","46",San Antonio,"0266469",Metrex,Micromedidor,De Velocidad,0.5,,"10000846",,1067,,./0.png
"351","48",San Antonio,"0266502",Metrex,Micromedidor,De Velocidad,0.5,,"10000847",,1057,,./0.png
"352","296",San Antonio,"40447",Otro,Micromedidor,Volumétrico,0.5,,"10002126","0717",1041,,./0.png
"353","297",San Antonio,"9025",Otro,Micromedidor,Volumétrico,0.5,,"10002124","862",1041,,./0.png
"354","298",San Antonio,"389",Otro,Micromedidor,Volumétrico,0.5,,"10002123","827722",1039,,./0.png
"355","299",San Antonio,"16000831",Otro,Micromedidor,Volumétrico,0.5,,"10002135","93872",1038,,./0.png
"356","300",San Antonio,"31958",Otro,Micromedidor,Volumétrico,0.5,,"10002160","9281",1042,,./0.png
"357","301",San Antonio,"0184372",Otro,Micromedidor,Volumétrico,0.5,,"10002170","727271",1042,,./0.png
"358","302",San Antonio,"31993",Otro,Micromedidor,Volumétrico,0.5,,"10002180","716198",1041,,./0.png
"359","304",San Antonio,"19019",Otro,Micromedidor,Volumétrico,0.5,,"10002150","87619",1041,,./0.png
"360","305",San Antonio,"362",Otro,Micromedidor,Volumétrico,0.5,,"10001610","19763",1039,,./0.png
"361","306",San Antonio,"9022",Otro,Micromedidor,Volumétrico,0.5,,"10001645","5865",1037,,./0.png
"362","308",San Antonio,"287",Otro,Micromedidor,Volumétrico,0.5,,"10001640","183727",1038,,./0.png
"363","309",San Antonio,"0266474",Metrex,Micromedidor,De Velocidad,0.5,,"10001650","187276",1039,,./0.png
"364","310",San Antonio,"265361",Otro,Micromedidor,Volumétrico,0.5,,"10001560","817617",1036,,./0.png
"365","312",San Antonio,"39750",Otro,Micromedidor,Volumétrico,0.5,,"10001680","0877",1041,,./0.png
"366","313",San Antonio,"40421",Otro,Micromedidor,Volumétrico,0.5,,"10001690","87382",1041,Viene lim 3/4,./0.png
"367","314",San Antonio,"58770",Otro,Micromedidor,Volumétrico,0.5,,"10001700","83728",1041,,./0.png
"368","315",San Antonio,"40403",Otro,Micromedidor,Volumétrico,0.5,,"10001710","938282",1041,,./0.png
"369","316",San Antonio,"14071",Otro,Micromedidor,Volumétrico,0.5,,"10001480","6764",1046,,./0.png
"370","317",San Antonio,"30514",Otro,Micromedidor,Volumétrico,0.5,,"10001730","92829",1046,,./0.png
"371","318",San Antonio,"30510",Otro,Micromedidor,Volumétrico,0.5,,"10001740","8282",1041,,./0.png
"372","319",San Antonio,"14069",Otro,Micromedidor,Volumétrico,0.5,,"10001750","93829",1042,,./0.png
"373","320",San Antonio,ND012,Otro,Micromedidor,Volumétrico,0.5,,"10002380","93782",1041,,./0.png
"374","303",San Antonio,"0266482",Otro,Micromedidor,Volumétrico,0.5,,"10002140","5754",1042,,./0.png
"375","307",San Antonio,"0266476",Otro,Micromedidor,Volumétrico,0.5,,"10001630","677",1037,,./0.png
"376","311",San Antonio,"0266484",Water meter,Micromedidor,Volumétrico,0.5,,"10001670","716382",1041,,./0.png
"377","347",San Antonio,"0266486",Metrex,Micromedidor,De Velocidad,0.5,,"10000338",,1038,,./0.png
"378","370",San Antonio,"16000788",Water meter,Micromedidor,Volumétrico,0.5,,"10000479",,1018,,./0.png
"379","375",San Antonio,"16000796",Water meter,Micromedidor,Volumétrico,0.5,,"10000526",,1032,,./0.png
"380","377",San Antonio,"16000798",Water meter,Micromedidor,Volumétrico,0.5,,"10000460",,1014,,./0.png
"381","382",San Antonio,"16000823",Water meter,Micromedidor,Volumétrico,0.5,,"10000400",,1033,,./0.png
"382","383",San Antonio,"16000794",Water meter,Micromedidor,Volumétrico,0.5,,"10000410",,1030,,./0.png
"383","384",San Antonio,"16000793",Water meter,Micromedidor,Volumétrico,0.5,,"10000420",,1028,,./0.png
"384","385",San Antonio,"16000795",Water meter,Micromedidor,Volumétrico,0.5,,"10000430",,1028,,./0.png
"385","376",San Antonio,"103",Otro,Micromedidor,Volumétrico,0.5,,"10000465",,1014,,./0.png
"386","378",San Antonio,"32108",Otro,Micromedidor,Volumétrico,0.5,,"10000390",,1030,,./0.png
"387","380",San Antonio,"456912",Otro,Micromedidor,Volumétrico,0.5,,"10000440",,1034,,./0.png
"388","381",San Antonio,"31928",Otro,Micromedidor,Volumétrico,0.5,,"10000380",,1034,,./0.png
"389","379",San Antonio,"290",Otro,Micromedidor,Volumétrico,0.5,,"10000385",,1030,,./0.png
"390","386",San Antonio,"0266495",Otro,Micromedidor,Volumétrico,0.5,,"10000565",,1047,,./0.png
