qc_id,gid,tipoinfra,acueducto,caracter,estainf,adecuacion,tipo_adec,calidad,image,observ,cota,material_f,fecha_ins,funcion_ti,diam_pulg,diam_pg_sa,diam_pg__1,coord_este,coord_nort,icon_url
"102","355",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.5,822600.61,1053908.74,./0.png
"103","356",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822584.9,1053956.38,./0.png
"104","357",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822574.41,1053988.5,./0.png
"105","358",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.5,822553.13,1054048.78,./0.png
"106","359",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,2,0.5,822542.06,1054081.66,./0.png
"107","360",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,2,0.5,822532.02,1054112.26,./0.png
"108","361",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822521.82,1054141.18,./0.png
"109","362",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822506.63,1054185.63,./0.png
"110","363",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.5,822492.07,1054228.29,./0.png
"111","364",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.5,822467.38,1054298.93,./0.png
"112","365",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,2,0.75,822438.4,1054383.87,./0.png
"113","366",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,2,0.5,822417.76,1054443.69,./0.png
"114","367",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,2,2,0.5,822371.12,1054577.12,./0.png
"115","368",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1044,PVC,,Derivación,2,2,0.75,822352.19,1054629.71,./0.png
"116","369",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.75,822350.11,1054635.51,./0.png
"117","370",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.75,822320.27,1054728.88,./0.png
"118","371",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,2,2,0.75,822318.75,1054733.37,./0.png
"119","372",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1039,PVC,,Derivación,2,2,0.5,822299.05,1054787.15,./0.png
"120","373",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1038,PVC,,Derivación,2,2,0.5,822283.6,1054834.74,./0.png
"121","374",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,2,2,0.5,822267.63,1054877.71,./0.png
"122","375",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,3,3,0.5,822482.13,1054171.78,./0.png
"123","389",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1038,PVC,,Derivación,3,3,0.5,822236.72,1054219.87,./0.png
"124","390",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1035,PVC,,Derivación,3,3,0.5,822219.07,1054274.5,./0.png
"125","391",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,4,4,0.5,822155.66,1054310.96,./0.png
"126","392",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,4,4,0.5,822124.22,1054257.86,./0.png
"127","393",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1035,PVC,,Derivación,2,2,0.5,822148.29,1054325.56,./0.png
"128","394",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,2,2,0.5,822129.37,1054366.32,./0.png
"129","395",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,2,2,0.5,822117.15,1054430.24,./0.png
"130","396",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1037,PVC,,Derivación,2,2,0.5,822125.99,1054466.06,./0.png
"131","397",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1038,PVC,,Derivación,2,2,0.5,822127.38,1054507.62,./0.png
"132","398",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1038,PVC,,Derivación,2,2,0.5,822110.82,1054521.09,./0.png
"133","399",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1032,PVC,,Derivación,2,2,0.5,822058.11,1054592.83,./0.png
"134","400",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,2,2,0.5,822062.15,1054624.75,./0.png
"135","401",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1039,PVC,,Derivación,2,2,0.5,822032.03,1054700.85,./0.png
"136","402",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,2,2,0.5,821975.92,1054723.46,./0.png
"137","403",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1038,PVC,,Derivación,2,2,0.5,822040.49,1054794.67,./0.png
"138","404",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1039,PVC,,Derivación,2,2,0.5,822052.52,1054793.93,./0.png
"139","405",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1036,PVC,,Derivación,2,2,0.75,822011.54,1054793.93,./0.png
"140","406",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1028,PVC,,Derivación,2,2,0.5,821952.01,1054771.37,./0.png
"141","407",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1021,PVC,,Derivación,2,2,0.5,821866.6,1054815.01,./0.png
"142","408",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1015,PVC,,Derivación,2,2,0.75,821793.84,1054797.47,./0.png
"143","429",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,3,3,0.5,821703.61,1054548.13,./0.png
"144","430",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,3,3,,821701.58,1054550.78,./0.png
"145","434",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1035,PVC,,Derivación,2,2,0.5,821717.45,1054723.02,./0.png
"146","435",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,2,2,0.5,821689.97,1054702.65,./0.png
"147","436",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,2,2,0.5,821727.32,1054721.78,./0.png
"148","437",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1043,PVC,,Derivación,2,2,0.75,820998.12,1053260.16,./0.png
"149","440",Collarín,San Antonio,Tee,Existente,No,Ninguna,Bueno,,,1077,PVC,,Derivación,0.75,0.5,0.5,820803.84,1053058.12,./0.png
"150","441",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1049,PVC,,Derivación,2,2,0.5,821008.54,1053321.58,./0.png
"151","443",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1041,PVC,,Derivación,4,4,0.5,821705.14,1053469.7,./0.png
"152","448",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1033,PVC,,Derivación,3,3,0.75,821532.81,1054670.22,./0.png
"153","455",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1050,PVC,,Derivación,4,4,0.5,821928.13,1054147.81,./0.png
"154","457",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1034,PVC,,Derivación,2,2,1,822061.08,1054621.06,./0.png
"155","469",Collarín,San Antonio,"Collarín 6"" a 1/2""",Existente,No,Ninguna,Bueno,D:\SIGCIVIL\PROYECTOS\sig_sanantonio\QGS\DCIM\infraestructura-puntos_20210305094045520.jpg,Derivación,1084,PVC,,Derivación,6,6,0.5,820935.35,1052776.91,./0.png
"156","478",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1042,PVC,,Derivación,2,2,0.5,822760.21,1053895.8,./0.png
"157","479",Collarín,San Antonio,Derivación,Existente,No,Ninguna,Bueno,,,1045,PVC,,Derivación,4,4,0.75,821798.61,1053890.72,./0.png
"158","472",Collarín,San Antonio,Collarín,Existente,No,Ninguna,Bueno,,,1049,PVC,,Derivación,4,4,0.76,821938.98,1054149.28,./0.png
